,date,location,d_pm10,d_pm25,status
294,2015-10-21,모현동,187.1666667,NA,case_1
295,2015-10-22,모현동,190.7083333,NA,case_1
296,2015-10-23,모현동,129.9090909,NA,case_1
297,2015-10-24,모현동,114.9583333,NA,case_1
298,2015-10-25,모현동,62.29166667,NA,case_1
299,2015-10-26,모현동,66,NA,case_1
300,2015-10-27,모현동,66.45833333,NA,case_1
301,2015-10-28,모현동,59.54166667,NA,case_1
302,2015-10-29,모현동,48.04347826,NA,case_1
303,2015-10-30,모현동,40.375,NA,case_1
304,2015-10-31,모현동,49.08333333,NA,case_1
305,2015-11-01,모현동,76.33333333,NA,case_1
306,2015-11-02,모현동,80.79166667,NA,case_1
307,2015-11-03,모현동,98.66666667,NA,case_1
308,2015-11-04,모현동,104.5833333,NA,case_1
309,2015-11-05,모현동,117.8333333,NA,case_1
310,2015-11-06,모현동,115.25,NA,case_1
311,2015-11-07,모현동,26.79166667,NA,case_1
312,2015-11-08,모현동,14.5,NA,case_1
313,2015-11-09,모현동,29.5,NA,case_1
314,2015-11-10,모현동,129.1111111,NA,case_1
315,2015-11-11,모현동,104.6666667,NA,case_1
316,2015-11-12,모현동,51.375,NA,case_1
317,2015-11-13,모현동,28.125,NA,case_1
318,2015-11-14,모현동,24.75,NA,case_1
319,2015-11-15,모현동,34.45833333,NA,case_1
320,2015-11-16,모현동,49.30769231,NA,case_1
321,2015-11-17,모현동,36.75,NA,case_1
322,2015-11-18,모현동,28.04166667,NA,case_1
323,2015-11-19,모현동,25.16666667,NA,case_1
324,2015-11-20,모현동,44.58333333,NA,case_1
325,2015-11-21,모현동,70.70833333,NA,case_1
326,2015-11-22,모현동,72.08333333,NA,case_1
327,2015-11-23,모현동,44.41666667,NA,case_1
328,2015-11-24,모현동,49.95833333,NA,case_1
329,2015-11-25,모현동,28.25,NA,case_1
330,2015-11-26,모현동,22.29166667,NA,case_1
331,2015-11-27,모현동,46,NA,case_1
332,2015-11-28,모현동,54.16666667,NA,case_1
333,2015-11-29,모현동,55.83333333,NA,case_1
334,2015-11-30,모현동,59.83333333,NA,case_1
335,2015-12-01,모현동,74.95833333,NA,case_1
336,2015-12-02,모현동,80.27272727,NA,case_1
337,2015-12-03,모현동,34.39130435,NA,case_1
338,2015-12-04,모현동,36.08333333,NA,case_1
339,2015-12-05,모현동,55.08333333,NA,case_1
340,2015-12-06,모현동,51.08333333,NA,case_1
341,2015-12-07,모현동,65.58333333,NA,case_1
342,2015-12-08,모현동,67.16666667,NA,case_1
343,2015-12-09,모현동,81.75,NA,case_1
344,2015-12-10,모현동,55.75,NA,case_1
345,2015-12-11,모현동,53.375,NA,case_1
346,2015-12-12,모현동,47.125,NA,case_1
347,2015-12-13,모현동,61.66666667,NA,case_1
348,2015-12-14,모현동,57.08333333,NA,case_1
349,2015-12-15,모현동,47.875,NA,case_1
350,2015-12-16,모현동,28.45833333,NA,case_1
351,2015-12-17,모현동,28,NA,case_1
352,2015-12-18,모현동,56.125,NA,case_1
353,2015-12-19,모현동,76.41666667,NA,case_1
354,2015-12-20,모현동,99.125,NA,case_1
355,2015-12-21,모현동,64.875,NA,case_1
356,2015-12-22,모현동,74.0952381,NA,case_1
357,2015-12-23,모현동,64.54166667,NA,case_1
358,2015-12-24,모현동,66.875,NA,case_1
359,2015-12-25,모현동,38.66666667,NA,case_1
360,2015-12-26,모현동,101.2083333,NA,case_1
361,2015-12-27,모현동,52,NA,case_1
362,2015-12-28,모현동,43.375,NA,case_1
363,2015-12-29,모현동,69.33333333,NA,case_1
364,2015-12-30,모현동,75.84210526,NA,case_1
365,2015-12-31,모현동,59.33333333,NA,case_1
366,2016-01-01,모현동,74.52173913,NA,case_1
367,2016-01-02,모현동,55.66666667,NA,case_1
368,2016-01-03,모현동,NA,NA,case_1
369,2016-01-04,모현동,NA,NA,case_1
370,2016-01-05,모현동,42.5,NA,case_1
371,2016-01-06,모현동,62.45833333,NA,case_1
372,2016-01-07,모현동,52.83333333,NA,case_1
373,2016-01-08,모현동,36,NA,case_1
374,2016-01-09,모현동,42.75,NA,case_1
375,2016-01-10,모현동,74.58333333,NA,case_1
376,2016-01-11,모현동,57,NA,case_1
377,2016-01-12,모현동,50.57142857,NA,case_1
378,2016-01-13,모현동,47.375,NA,case_1
379,2016-01-14,모현동,43.41666667,NA,case_1
380,2016-01-15,모현동,80.91666667,NA,case_1
381,2016-01-16,모현동,111.2083333,NA,case_1
382,2016-01-17,모현동,106.5,NA,case_1
383,2016-01-18,모현동,47,NA,case_1
384,2016-01-19,모현동,25.33333333,NA,case_1
385,2016-01-20,모현동,49.79166667,NA,case_1
386,2016-01-21,모현동,69.20833333,NA,case_1
387,2016-01-22,모현동,65.16666667,NA,case_1
388,2016-01-23,모현동,35.75,NA,case_1
389,2016-01-24,모현동,30.66666667,NA,case_1
390,2016-01-25,모현동,88.625,NA,case_1
391,2016-01-26,모현동,92.54166667,NA,case_1
392,2016-01-27,모현동,92.90909091,NA,case_1
393,2016-01-28,모현동,109.875,NA,case_1
394,2016-01-29,모현동,42.66666667,NA,case_1
395,2016-01-30,모현동,58.41666667,NA,case_1
396,2016-01-31,모현동,51.54166667,NA,case_1
397,2016-02-01,모현동,38.83333333,NA,case_1
398,2016-02-02,모현동,53.375,NA,case_1
399,2016-02-03,모현동,72.08333333,NA,case_1
400,2016-02-04,모현동,78.875,NA,case_1
401,2016-02-05,모현동,60.29166667,NA,case_1
402,2016-02-06,모현동,52.91666667,NA,case_1
403,2016-02-07,모현동,53.45833333,NA,case_1
404,2016-02-08,모현동,70.58333333,NA,case_1
405,2016-02-09,모현동,72.33333333,NA,case_1
406,2016-02-10,모현동,61.25,NA,case_1
407,2016-02-11,모현동,68.33333333,NA,case_1
408,2016-02-12,모현동,32.125,NA,case_1
409,2016-02-13,모현동,25.375,NA,case_1
410,2016-02-14,모현동,39.625,NA,case_1
411,2016-02-15,모현동,38.125,NA,case_1
412,2016-02-16,모현동,39.25,NA,case_1
413,2016-02-17,모현동,35.83333333,NA,case_1
414,2016-02-18,모현동,43.23809524,NA,case_1
415,2016-02-19,모현동,83.25,NA,case_1
416,2016-02-20,모현동,73.83333333,NA,case_1
417,2016-02-21,모현동,37.70833333,NA,case_1
418,2016-02-22,모현동,56.70833333,NA,case_1
419,2016-02-23,모현동,74.29166667,NA,case_1
420,2016-02-24,모현동,33.58333333,NA,case_1
421,2016-02-25,모현동,48.25,NA,case_1
422,2016-02-26,모현동,67.30434783,NA,case_1
423,2016-02-27,모현동,80.41666667,NA,case_1
424,2016-02-28,모현동,85,NA,case_1
425,2016-02-29,모현동,42.83333333,NA,case_1
426,2016-03-01,모현동,40.95833333,NA,case_1
427,2016-03-02,모현동,39.33333333,NA,case_1
428,2016-03-03,모현동,53.58333333,NA,case_1
429,2016-03-04,모현동,69.5,NA,case_1
430,2016-03-05,모현동,33.20833333,NA,case_1
431,2016-03-06,모현동,66.16666667,NA,case_1
432,2016-03-07,모현동,99.2173913,NA,case_1
433,2016-03-08,모현동,83.54166667,NA,case_1
434,2016-03-09,모현동,47.5,NA,case_1
435,2016-03-10,모현동,34.29166667,NA,case_1
436,2016-03-11,모현동,42.95833333,NA,case_1
437,2016-03-12,모현동,62.08333333,NA,case_1
438,2016-03-13,모현동,85.45833333,NA,case_1
439,2016-03-14,모현동,92.08333333,NA,case_1
440,2016-03-15,모현동,84,NA,case_1
441,2016-03-16,모현동,78.33333333,NA,case_1
442,2016-03-17,모현동,85.70833333,NA,case_1
443,2016-03-18,모현동,52.375,NA,case_1
444,2016-03-19,모현동,64.83333333,NA,case_1
445,2016-03-20,모현동,68.45833333,NA,case_1
446,2016-03-21,모현동,60.33333333,NA,case_1
447,2016-03-22,모현동,73.58333333,NA,case_1
448,2016-03-23,모현동,72.41666667,NA,case_1
449,2016-03-24,모현동,51.54166667,NA,case_1
450,2016-03-25,모현동,68.54166667,NA,case_1
451,2016-03-26,모현동,66.66666667,NA,case_1
452,2016-03-27,모현동,64.16666667,NA,case_1
453,2016-03-28,모현동,78.125,NA,case_1
454,2016-03-29,모현동,93.08333333,NA,case_1
455,2016-03-30,모현동,70.125,NA,case_1
456,2016-03-31,모현동,82.66666667,NA,case_1
457,2016-04-01,모현동,88.83333333,NA,case_1
458,2016-04-02,모현동,90.16666667,NA,case_1
459,2016-04-03,모현동,85,NA,case_1
460,2016-04-04,모현동,41.60869565,NA,case_1
461,2016-04-05,모현동,50.125,NA,case_1
462,2016-04-06,모현동,62.16666667,NA,case_1
463,2016-04-07,모현동,27.41666667,NA,case_1
464,2016-04-08,모현동,58.16666667,NA,case_1
465,2016-04-09,모현동,117,NA,case_1
466,2016-04-10,모현동,117.3333333,NA,case_1
467,2016-04-11,모현동,74.16666667,NA,case_1
468,2016-04-12,모현동,58.75,NA,case_1
469,2016-04-13,모현동,29.33333333,NA,case_1
470,2016-04-14,모현동,40.08333333,NA,case_1
471,2016-04-15,모현동,48.29166667,NA,case_1
472,2016-04-16,모현동,48.5,NA,case_1
473,2016-04-17,모현동,44.95833333,NA,case_1
474,2016-04-18,모현동,48.91666667,NA,case_1
475,2016-04-19,모현동,42.5,NA,case_1
476,2016-04-20,모현동,54.58333333,NA,case_1
477,2016-04-21,모현동,28.04166667,NA,case_1
478,2016-04-22,모현동,51.25,NA,case_1
479,2016-04-23,모현동,123.9583333,NA,case_1
480,2016-04-24,모현동,131.4583333,NA,case_1
481,2016-04-25,모현동,85.5,NA,case_1
482,2016-04-26,모현동,68.16666667,NA,case_1
483,2016-04-27,모현동,36.83333333,NA,case_1
484,2016-04-28,모현동,27.70833333,NA,case_1
485,2016-04-29,모현동,48.41666667,NA,case_1
486,2016-04-30,모현동,46.83333333,NA,case_1
487,2016-05-01,모현동,37.33333333,16.11764706,case_1
488,2016-05-02,모현동,31.41666667,8.136363636,case_1
489,2016-05-03,모현동,16.41666667,2.714285714,case_1
490,2016-05-04,모현동,42.25,14.25,case_1
491,2016-05-05,모현동,41.79166667,25.41176471,case_1
492,2016-05-06,모현동,20.75,10.27272727,case_1
493,2016-05-07,모현동,82.66666667,21.625,case_1
494,2016-05-08,모현동,41.58333333,13.70833333,case_1
495,2016-05-09,모현동,49.70833333,20.41666667,case_1
496,2016-05-10,모현동,22.95833333,10.88888889,case_1
497,2016-05-11,모현동,20.75,5.947368421,case_1
498,2016-05-12,모현동,25.33333333,18,case_1
499,2016-05-13,모현동,32.58333333,21.9047619,case_1
500,2016-05-14,모현동,34.41666667,17.7,case_1
501,2016-05-15,모현동,26.83333333,15.7,case_1
502,2016-05-16,모현동,23.25,11.58823529,case_1
503,2016-05-17,모현동,36.08333333,20.45833333,case_1
504,2016-05-18,모현동,40.29166667,25.7,case_1
505,2016-05-19,모현동,47.70833333,30.28571429,case_1
506,2016-05-20,모현동,48.35,17.08333333,case_1
507,2016-05-21,모현동,42.91666667,27.29411765,case_1
508,2016-05-22,모현동,42.41666667,27.52380952,case_1
509,2016-05-23,모현동,51.84210526,32.40909091,case_1
510,2016-05-24,모현동,26.5,18.91666667,case_1
511,2016-05-25,모현동,65.20833333,33.625,case_1
512,2016-05-26,모현동,93.20833333,53.33333333,case_1
513,2016-05-27,모현동,92.45833333,42.20833333,case_1
514,2016-05-28,모현동,75,24.91666667,case_1
515,2016-05-29,모현동,79.70833333,31.04166667,case_1
516,2016-05-30,모현동,89.45833333,41.79166667,case_1
517,2016-05-31,모현동,70.375,25.45833333,case_1
518,2016-06-01,모현동,66.45833333,22.625,case_1
519,2016-06-02,모현동,70,29,case_1
520,2016-06-03,모현동,68.20833333,20.5,case_1
521,2016-06-04,모현동,61.41666667,22.95238095,case_1
522,2016-06-05,모현동,60.20833333,31.21052632,case_1
523,2016-06-06,모현동,56.04166667,24.57894737,case_1
524,2016-06-07,모현동,52.08333333,18.08333333,case_1
525,2016-06-08,모현동,43.04166667,8.894736842,case_1
526,2016-06-09,모현동,55.41666667,14.77272727,case_1
527,2016-06-10,모현동,66.16666667,24.375,case_1
528,2016-06-11,모현동,50.54166667,14.84210526,case_1
529,2016-06-12,모현동,40.20833333,4.428571429,case_1
530,2016-06-13,모현동,55.41666667,18.26315789,case_1
531,2016-06-14,모현동,56,17.375,case_1
532,2016-06-15,모현동,43.625,10.46666667,case_1
533,2016-06-16,모현동,37.63157895,10.41666667,case_1
534,2016-06-17,모현동,52.75,14.60869565,case_1
535,2016-06-18,모현동,72.70833333,30.5,case_1
536,2016-06-19,모현동,56.33333333,18.52631579,case_1
537,2016-06-20,모현동,51.91666667,15.2,case_1
538,2016-06-21,모현동,54.29166667,16.17647059,case_1
539,2016-06-22,모현동,76.625,32.38095238,case_1
540,2016-06-23,모현동,58.04166667,15.73913043,case_1
541,2016-06-24,모현동,51.20833333,28.25,case_1
542,2016-06-25,모현동,45.41666667,8.333333333,case_1
543,2016-06-26,모현동,47.75,9.4375,case_1
544,2016-06-27,모현동,51.79166667,8,case_1
545,2016-06-28,모현동,66.125,20.20833333,case_1
546,2016-06-29,모현동,41.5,16.7,case_1
547,2016-06-30,모현동,33.39130435,8.75,case_1
