,date,location,d_pm10,d_pm25,area
479,2016-04-23,강남구,221.5416667,42.91666667,동남
480,2016-04-24,강남구,195.1666667,28.66666667,동남
481,2016-04-25,강남구,89.45833333,25.125,동남
482,2016-04-26,강남구,84.16666667,29.29166667,동남
483,2016-04-27,강남구,53.54166667,16.20833333,동남
484,2016-04-28,강남구,61.20833333,21.125,동남
485,2016-04-29,강남구,66.75,28.125,동남
486,2016-04-30,강남구,84.95454545,36.54166667,동남
487,2016-05-01,강남구,46.375,22.08333333,동남
488,2016-05-02,강남구,44.625,25.58333333,동남
489,2016-05-03,강남구,18,9.833333333,동남
490,2016-05-04,강남구,52.33333333,12.70833333,동남
491,2016-05-05,강남구,49.79166667,21.5,동남
492,2016-05-06,강남구,41.875,21.91666667,동남
493,2016-05-07,강남구,126.7916667,20.75,동남
494,2016-05-08,강남구,48.79166667,16.66666667,동남
495,2016-05-09,강남구,55.41666667,20.52173913,동남
496,2016-05-10,강남구,30.25,14.75,동남
497,2016-05-11,강남구,26.95833333,13.79166667,동남
498,2016-05-12,강남구,24.5,15.2173913,동남
499,2016-05-13,강남구,34.79166667,21.79166667,동남
500,2016-05-14,강남구,30.125,18.83333333,동남
501,2016-05-15,강남구,27.95652174,20.2173913,동남
502,2016-05-16,강남구,29.45833333,17.52173913,동남
503,2016-05-17,강남구,56.91304348,36.43478261,동남
504,2016-05-18,강남구,47.95833333,31.70833333,동남
505,2016-05-19,강남구,31.70833333,21.875,동남
506,2016-05-20,강남구,45.29166667,33.54166667,동남
507,2016-05-21,강남구,30.58333333,25.54545455,동남
508,2016-05-22,강남구,46.625,41.6,동남
509,2016-05-23,강남구,54.55,48.22222222,동남
510,2016-05-24,강남구,30.7826087,23.72727273,동남
511,2016-05-25,강남구,89,62.75,동남
512,2016-05-26,강남구,113,76.60869565,동남
513,2016-05-27,강남구,102.1363636,61.95,동남
514,2016-05-28,강남구,82.95833333,44.625,동남
515,2016-05-29,강남구,91.95833333,45.5,동남
516,2016-05-30,강남구,96.45833333,58.375,동남
517,2016-05-31,강남구,87.91666667,52.91666667,동남
518,2016-06-01,강남구,44.08695652,25.39130435,동남
519,2016-06-02,강남구,39,20.29166667,동남
520,2016-06-03,강남구,46.18181818,26.13636364,동남
521,2016-06-04,강남구,57.79166667,31.41666667,동남
522,2016-06-05,강남구,53.58333333,32.75,동남
